種別,分類,動画での表示名,団体/チーム名,団体ID,配信日,大会名,元動画タイトル,URL,動画配信元,動画配信元URL,動画配信元ロゴURL
動画,マーチング団体等,The Garnet 長崎マーチングバンド,The Garnet 長崎マーチングバンド,o1b4cjpv,2019-12-07,2019 DCJ The27th ALL JAPAN The Garnet 長崎マーチングバンド,,https://www.youtube.com/watch?v=sXwxtbFQxWU,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,さいたま市立上里小学校マーチングキッズ,さいたま市立上里小学校マーチングキッズ,o1j4cjjv,2019-12-07,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS さいたま市立上里小学校マーチングキッズ,,https://www.youtube.com/watch?v=InGcd4f-43A,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,座間市少女マーチングバンド,座間市少女マーチングバンド,ote8bz6,2019-12-06,2019 DCJ The27th ALL JAPAN 座間市少女マーチングバンド,,https://www.youtube.com/watch?v=3b4y4vvy5yI,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Imperial Sound,Imperial Sound Drum&Bugle Corps,o1o6zc1c,2019-12-06,2019 DCJ The27th ALL JAPAN Imperial Sound,,https://www.youtube.com/watch?v=n43V4JPxjkw,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,湘南ドルフィンズ・マーチングバンド,湘南ドルフィンズ・マーチングバンド,o1nov4hn,2019-12-04,2019 DCJ The27th ALL JAPAN 湘南ドルフィンズ・マーチングバンド,,https://www.youtube.com/watch?v=lGMVbU1YVWg,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,SENDAI Verdures,SENDAI Verdures,o126whaw,2019-12-04,2019 DCJ The27th ALL JAPAN SENDAI Verdures,,https://www.youtube.com/watch?v=O4UN2glFSBE,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,PHOENIX REGIMENT,東京実業高等学校Phoenix Regiment Drum&Bugle Corps,o1nlulwf,2019-12-04,2019 DCJ The27th ALL JAPAN PHOENIX REGIMENT,,https://www.youtube.com/watch?v=K3IdxW95zvo,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,横浜市立潮田中学校 YOKOHAMA Pacific Winds,横浜市立潮田中学校 YOKOHAMA Pacific Winds,ouczeoq,2019-12-04,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS 横浜市立潮田中学校 YOKOHAMA Pacific Winds,,https://www.youtube.com/watch?v=8iUFGrzks5o,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,横浜市立平安小学校マーチングバンド,横浜市立平安小学校マーチングバンド,o1j4wmu9,2019-12-04,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS 横浜市立平安小学校マーチングバンド,,https://www.youtube.com/watch?v=6Yqg-KXqlwE,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Tokyo Phoenix,Tokyo Phoenix Drum&Bugle Corps,ofza5wl,2019-12-04,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS Tokyo Phoenix,,https://www.youtube.com/watch?v=3cfbgaTLeBw,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,関東学院マーチングバンド,関東学院マーチングバンド,o1u9zfon,2019-12-02,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS 関東学院マーチングバンド,,https://www.youtube.com/watch?v=FDTMrHmeRRg,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,White Galaxy,White Galaxy,o1be1njj,2019-12-02,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS White Galaxy,,https://www.youtube.com/watch?v=63hmUbn7Beo,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,SONIC LANCERS,SONIC LANCERS,o1ed2qxk,2019-12-02,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS SONIC LANCERS,,https://www.youtube.com/watch?v=wL1L-KX8-dI,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,神奈川県立湘南台高等学校吹奏楽部 White Shooting Stars,神奈川県立湘南台高等学校吹奏楽部 White Shooting Stars,o1k1vb1f,2019-11-30,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS 神奈川県立湘南台高等学校吹奏楽部 White Shooting Stars,,https://www.youtube.com/watch?v=UKhF0zabOaI,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Yokohama INSPIRES Alumni,Yokohama INSPIRES Alumni Drum&Bugle Corps,o1hw02ly,2019-11-30,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS Yokohama INSPIRES Alumni,,https://www.youtube.com/watch?v=blAqdapXsd8,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,THE FOCUS,THE FOCUS,o1iahfpj,2019-11-30,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS THE FOCUS,,https://www.youtube.com/watch?v=gIWq_uTF_UM,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Legend of ANGELS,Legend of ANGELS Drum&Bugle Corps,o1slw9jm,2019-11-30,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS Legend of ANGELS,,https://www.youtube.com/watch?v=b8L5fGZ3rUg,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
